QueryAccVer,Taxon,Levels,species,genus,family,order,class,phylum,kingdom,method,DB,threshold
ASV_8,Calanus finmarchicus,species,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_13,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_18,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_20,Morone saxatilis,species,Morone saxatilis,Morone,Moronidae,Perciformes,Actinopterygii,Chordata,Animalia,LCA,GSL_rl,95
ASV_42,Oithona similis,species,Oithona similis,Oithona,Oithonidae,Cyclopoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_44,Calanus finmarchicus,species,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_87,Oithona similis,species,Oithona similis,Oithona,Oithonidae,Cyclopoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_90,Prionospio steenstrupi,species,Prionospio steenstrupi,Prionospio,Spionidae,Spionida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_177,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_195,Cyanea capillata,species,Cyanea capillata,Cyanea,Cyaneidae,Semaeostomeae,Scyphozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_201,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_214,Ophiopholis aculeata,species,Ophiopholis aculeata,Ophiopholis,Ophiopholidae,Amphilepidida,Ophiuroidea,Echinodermata,Animalia,LCA,GSL_rl,95
ASV_233,Nanomia cara,species,Nanomia cara,Nanomia,Agalmatidae,Siphonophorae,Hydrozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_234,Spirontocaris spinus,species,Spirontocaris spinus,Spirontocaris,Thoridae,Decapoda,Malacostraca,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_258,Calanus finmarchicus,species,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_281,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,LCA,GSL_rl,95
ASV_313,Cyanea capillata,species,Cyanea capillata,Cyanea,Cyaneidae,Semaeostomeae,Scyphozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_320,Echinarachnius parma,species,Echinarachnius parma,Echinarachnius,Echinarachniidae,Clypeasteroida,Echinoidea,Echinodermata,Animalia,LCA,GSL_rl,95
ASV_384,Morone saxatilis,species,Morone saxatilis,Morone,Moronidae,Perciformes,Actinopterygii,Chordata,Animalia,LCA,GSL_rl,95
ASV_400,Metridia lucens,species,Metridia lucens,Metridia,Metridinidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_401,Calanus finmarchicus,species,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_411,Thelepus cincinnatus,species,Thelepus cincinnatus,Thelepus,Terebellidae,Terebellida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_430,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_478,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_532,Cyanea capillata,species,Cyanea capillata,Cyanea,Cyaneidae,Semaeostomeae,Scyphozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_582,Pectinaria sp,species,Pectinaria sp,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_585,Phocoena phocoena,species,Phocoena phocoena,Phocoena,Phocoenidae,Cetartiodactyla,Mammalia,Chordata,Animalia,LCA,GSL_rl,95
ASV_607,Argis dentata,species,Argis dentata,Argis,Crangonidae,Decapoda,Malacostraca,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_645,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_710,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_742,Spiophanes kroyeri,species,Spiophanes kroyeri,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_744,Pseudopotamilla reniformis,species,Pseudopotamilla reniformis,Pseudopotamilla,Sabellidae,Sabellida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_760,Spiophanes kroyeri,species,Spiophanes kroyeri,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_782,Calanus finmarchicus,species,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_807,Temora longicornis,species,Temora longicornis,Temora,Temoridae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_815,Gymnocanthus tricuspis,species,Gymnocanthus tricuspis,Gymnocanthus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata,Animalia,LCA,GSL_rl,95
ASV_860,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_896,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,LCA,GSL_rl,95
ASV_897,Plotocnide borealis,species,Plotocnide borealis,Plotocnide,Boreohydridae,Anthoathecata,Hydrozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_902,Prionospio steenstrupi,species,Prionospio steenstrupi,Prionospio,Spionidae,Spionida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_911,Pseudocalanus minutus,species,Pseudocalanus minutus,Pseudocalanus,Clausocalanidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_921,Thelepus cincinnatus,species,Thelepus cincinnatus,Thelepus,Terebellidae,Terebellida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_941,Ammodytes,genus,NA,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Chordata,Animalia,LCA,GSL_rl,95
ASV_942,Catablema vesicarium,species,Catablema vesicarium,Catablema,Pandeidae,Anthoathecata,Hydrozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_948,Catablema vesicarium,species,Catablema vesicarium,Catablema,Pandeidae,Anthoathecata,Hydrozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_975,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,LCA,GSL_rl,95
ASV_981,Spiophanes kroyeri,species,Spiophanes kroyeri,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_1001,Cyanea capillata,species,Cyanea capillata,Cyanea,Cyaneidae,Semaeostomeae,Scyphozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_1048,Pseudocalanus minutus,species,Pseudocalanus minutus,Pseudocalanus,Clausocalanidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_1059,Oithona similis,species,Oithona similis,Oithona,Oithonidae,Cyclopoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_1077,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_1090,Oithona similis,species,Oithona similis,Oithona,Oithonidae,Cyclopoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_1136,Thelepus cincinnatus,species,Thelepus cincinnatus,Thelepus,Terebellidae,Terebellida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_1154,Diaphoreolis viridis,species,Diaphoreolis viridis,Diaphoreolis,Trinchesiidae,Nudibranchia,Gastropoda,Mollusca,Animalia,LCA,GSL_rl,95
ASV_1157,Mytilus sp,species,Mytilus sp,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,LCA,GSL_rl,95
ASV_1178,Ammodytes,genus,NA,Ammodytes,Ammodytidae,Perciformes,Actinopterygii,Chordata,Animalia,LCA,GSL_rl,95
ASV_1184,Hyas,genus,NA,Hyas,Oregoniidae,Decapoda,Malacostraca,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_1219,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,LCA,GSL_rl,95
ASV_1243,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,LCA,GSL_rl,95
ASV_1250,Thunnus thynnus,species,Thunnus thynnus,Thunnus,Scombridae,Perciformes,Actinopterygii,Chordata,Animalia,LCA,GSL_rl,95
ASV_1264,Hiatella arctica,species,Hiatella arctica,Hiatella,Hiatellidae,Adapedonta,Bivalvia,Mollusca,Animalia,LCA,GSL_rl,95
ASV_1293,Thelepus cincinnatus,species,Thelepus cincinnatus,Thelepus,Terebellidae,Terebellida,Polychaeta,Annelida,Animalia,LCA,GSL_rl,95
ASV_1294,Cyanea capillata,species,Cyanea capillata,Cyanea,Cyaneidae,Semaeostomeae,Scyphozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_1331,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,LCA,GSL_rl,95
ASV_1371,Micrura varicolor,species,Micrura varicolor,Micrura,Lineidae,Heteronemertea,Pilidiophora,Nemertea,Animalia,LCA,GSL_rl,95
ASV_1383,Cyanea capillata,species,Cyanea capillata,Cyanea,Cyaneidae,Semaeostomeae,Scyphozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_1400,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,LCA,GSL_rl,95
ASV_1407,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,LCA,GSL_rl,95
ASV_1441,Obelia,genus,NA,Obelia,Campanulariidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,LCA,GSL_rl,95
ASV_1461,Halocynthia pyriformis,species,Halocynthia pyriformis,Halocynthia,Pyuridae,Stolidobranchia,Ascidiacea,Chordata,Animalia,LCA,GSL_rl,95
ASV_1472,Solaster endeca,species,Solaster endeca,Solaster,Solasteridae,Valvatida,Asteroidea,Echinodermata,Animalia,LCA,GSL_rl,95
ASV_1565,Halichondria panicea,species,Halichondria panicea,Halichondria,Halichondriidae,Suberitida,Demospongiae,Porifera,Animalia,LCA,GSL_rl,95
ASV_1629,Oithona similis,species,Oithona similis,Oithona,Oithonidae,Cyclopoida,Hexanauplia,Arthropoda,Animalia,LCA,GSL_rl,95
ASV_1641,Strongylocentrotus,genus,NA,Strongylocentrotus,Strongylocentrotidae,Camarodonta,Echinoidea,Echinodermata,Animalia,LCA,GSL_rl,95
ASV_1665,Halichondria panicea,species,Halichondria panicea,Halichondria,Halichondriidae,Suberitida,Demospongiae,Porifera,Animalia,LCA,GSL_rl,95
ASV_1666,Strongylocentrotus,genus,NA,Strongylocentrotus,Strongylocentrotidae,Camarodonta,Echinoidea,Echinodermata,Animalia,LCA,GSL_rl,95
