ID,BA,PPO,Nreads.tot
ASV_1,1348438,917537,2265975
ASV_10,50917,45728,96645
ASV_100,4287,2514,6801
ASV_1000,220,20,240
ASV_1001,238,0,238
ASV_1002,89,148,237
ASV_1003,225,12,237
ASV_1004,237,0,237
ASV_1005,236,0,236
ASV_1006,236,0,236
ASV_1007,236,0,236
ASV_1008,85,150,235
ASV_1009,139,96,235
ASV_101,2691,4034,6725
ASV_1010,213,21,234
ASV_1011,30,204,234
ASV_1012,200,34,234
ASV_1013,234,0,234
ASV_1014,234,0,234
ASV_1015,176,57,233
ASV_1016,178,55,233
ASV_1017,60,173,233
ASV_1018,233,0,233
ASV_1019,90,142,232
ASV_102,4236,2420,6656
ASV_1020,0,231,231
ASV_1021,54,178,232
ASV_1022,60,171,231
ASV_1023,0,231,231
ASV_1024,231,0,231
ASV_1025,203,27,230
ASV_1026,230,0,230
ASV_1027,0,229,229
ASV_1028,229,0,229
ASV_1029,227,1,228
ASV_103,6583,0,6583
ASV_1030,55,172,227
ASV_1031,14,213,227
ASV_1032,76,151,227
ASV_1033,0,227,227
ASV_1034,0,226,226
ASV_1035,226,0,226
ASV_1036,194,0,194
ASV_1037,225,0,225
ASV_1038,219,5,224
ASV_1039,202,21,223
ASV_104,6442,3,6445
ASV_1040,223,0,223
ASV_1041,223,0,223
ASV_1042,0,222,222
ASV_1043,0,222,222
ASV_1044,222,0,222
ASV_1045,67,154,221
ASV_1046,42,178,220
ASV_1047,186,34,220
ASV_1048,220,0,220
ASV_1049,152,67,219
ASV_105,6426,2,6428
ASV_1050,135,84,219
ASV_1051,219,0,219
ASV_1052,217,0,217
ASV_1053,214,2,216
ASV_1054,13,202,215
ASV_1055,5,210,215
ASV_1056,5,210,215
ASV_1057,0,215,215
ASV_1058,0,214,214
ASV_1059,214,0,214
ASV_106,3734,2609,6343
ASV_1060,128,85,213
ASV_1061,207,6,213
ASV_1062,20,192,212
ASV_1063,0,211,211
ASV_1064,211,0,211
ASV_1065,211,0,211
ASV_1066,200,10,210
ASV_1067,188,22,210
ASV_1068,0,210,210
ASV_1069,206,4,210
ASV_107,4733,1595,6328
ASV_1070,210,0,210
ASV_1071,186,23,209
ASV_1072,209,0,209
ASV_1073,79,129,208
ASV_1074,191,17,208
ASV_1075,72,135,207
ASV_1076,0,208,208
ASV_1077,0,208,208
ASV_1078,199,9,208
ASV_1079,0,207,207
ASV_108,3659,2664,6323
ASV_1080,3,204,207
ASV_1081,144,62,206
ASV_1082,206,0,206
ASV_1083,206,0,206
ASV_1084,206,0,206
ASV_1085,163,42,205
ASV_1086,198,7,205
ASV_1087,88,116,204
ASV_1088,0,204,204
ASV_1089,204,0,204
ASV_109,4786,1413,6199
ASV_1090,204,0,204
ASV_1091,203,0,203
ASV_1092,203,0,203
ASV_1093,0,202,202
ASV_1094,202,0,202
ASV_1095,54,147,201
ASV_1096,200,0,200
ASV_1097,200,0,200
ASV_1098,145,54,199
ASV_1099,158,41,199
ASV_11,49633,35778,85411
ASV_110,1625,4546,6171
ASV_1100,193,6,199
ASV_1101,8,190,198
